sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_247,40.8975555,6.2479922,23.6261296,15265,2698,166677,926,1431,8.9285,1.4428,89.1335,0.4952,13703,6043,2001,256,62.28,27.46,9.09,1.16,40,0,20899,6996,157539,1078,485,647,83,713,8,11.6908,3.7124,83.5981,0.572,0.044,0.3784,0.0042,33.9454634,5.4236064
s_248,52.5206736,5.320582,16.9053037,216886,2096,185527,587,8769,54.5238,0.5064,44.8279,0.1418,138186,8542,8908,525,88.49,5.47,5.7,0.34,50,0,237614,9253,163144,983,2871,7865,86,3982,54,58.3184,2.1728,38.31,0.2308,0.0202,0.9351,0.0127,42.3196765,5.386322
s_249,53.6478577,4.9857928,16.9853874,158162,968,101430,506,6323,61.5152,0.362,37.9335,0.1892,115202,3522,3371,70,94.3,2.88,2.76,0.06,50,0,170375,3870,91128,501,1515,4037,39,1584,5,64.4294,1.4173,33.3736,0.1835,0.0143,0.5801,0.0018,44.16907,5.27358
s_250,54.3081834,5.1843392,16.3029905,119969,2349,116901,1101,4995,50.9402,0.9575,47.6534,0.4488,76067,5290,7256,106,85.74,5.96,8.18,0.12,60,0,130422,6041,106432,1026,1394,3429,59,3027,8,53.7032,2.3988,42.2621,0.4074,0.0234,1.202,0.0032,42.8659918,5.6405572
s_252,50.82513,5.4784138,17.2731966,33724,427,25707,247,671,56.5931,0.7026,42.2979,0.4064,22159,1402,1279,31,89.1,5.64,5.14,0.12,50,0,36891,1556,21864,250,215,1047,10,509,1,61.1985,2.4959,35.0705,0.401,0.016,0.8165,0.0016,40.4675551,5.6008978
s_253,44.8817758,6.1761329,20.8305883,124902,1403,169084,579,5624,43.279,0.4652,56.0638,0.192,75127,5195,5230,178,87.63,6.06,6.1,0.21,40,1,136849,5661,156567,668,1847,3914,55,2034,7,46.3619,1.8404,50.8992,0.2172,0.0179,0.6612,0.0023,37.9147588,5.5790171
s_254,47.0503933,5.763208,19.4262572,78680,1369,114673,653,5473,41.8988,0.6816,57.0944,0.3251,63012,4900,3489,257,87.93,6.84,4.87,0.36,50,0,91087,5319,102062,871,1509,2338,57,1274,3,46.418,2.6007,49.9032,0.4259,0.0279,0.6229,0.0015,39.6111265,5.1280462
s_256,51.2419669,5.460448,17.2515843,190884,2286,112744,1014,8063,63.1596,0.7257,35.7928,0.3219,136293,7653,5597,276,90.97,5.11,3.74,0.18,60,0,210955,8238,92299,1079,2420,5932,150,2535,54,67.758,2.5452,28.5171,0.3334,0.0463,0.7832,0.0167,41.133178,5.4697361
s_257,53.6911606,5.3807469,16.5537157,46693,424,33980,189,805,57.8602,0.5165,41.3931,0.2302,19428,1543,961,42,88.41,7.02,4.37,0.19,60,0,49374,1668,30524,213,312,1044,19,341,2,60.7567,1.9977,36.557,0.2551,0.0228,0.4084,0.0024,42.782047,5.9412649
s_258,51.8844365,5.4460227,17.5522415,188484,2355,145496,505,10457,57.2827,0.6781,41.8938,0.1454,127815,8424,7343,226,88.88,5.86,5.11,0.16,60,0,205658,9067,129152,650,2770,4889,155,4049,32,59.8496,2.5439,36.2357,0.1824,0.0435,1.136,0.009,42.4439784,5.5166488
s_259,45.0165829,6.0960978,21.2687504,97185,1495,164859,370,6229,38.2819,0.5534,61.0277,0.137,67274,5947,6256,236,84.4,7.46,7.85,0.3,40,0,109561,6456,151661,598,1862,3324,74,2621,17,41.5488,2.3377,54.915,0.2165,0.0268,0.949,0.0062,38.1482812,5.2600664
s_26,45.0428576,5.9249978,21.3433337,107189,757,148863,239,3940,42.5801,0.2901,57.0383,0.0916,88229,4044,1796,97,93.7,4.29,1.91,0.1,40,0,124427,4278,130945,320,1018,4190,42,746,2,48.7408,1.6085,49.2334,0.1203,0.0158,0.2805,0.0008,37.654041,5.1530881
s_260,50.7395006,5.6035063,18.1312542,198536,1926,199492,536,7016,50.4415,0.4726,48.9544,0.1315,107656,6096,8383,211,87.99,4.98,6.85,0.17,60,0,214917,6728,183068,648,2145,5295,82,3769,47,53.3615,1.6146,43.9329,0.1555,0.0197,0.9045,0.0113,41.0940302,5.7494313
